African	Africans
American	Americans
Arab	Arabs
Asian	Asians
Australian	Australians
Buddhist	Buddhists
Canadian	Canadians
Christian	Christians
Christmas	Christmases
December	Decembers
Egyptian	Egyptians
Englishman	Englishmen
European	Europeans
February	Februaries
Frenchman	Frenchmen
Friday	Fridays
German	Germans
Greek	Greeks
Indian	Indians
Italian	Italians
June	Junes
Mexican	Mexicans
Moslem	Moslems
November	Novembers
October	Octobers
Russian	Russians
Saturday	Saturdays
Sunday	Sundays
Thursday	Thursdays
Tibetan	Tibetans
Tuesday	Tuesdays
Wednesday	Wednesdays
abandon	abandoning,abandoned,abandons
ability	abilities
able	ably,ablest,abler
abnormal	abnormally
abolish	abolishes,abolished,abolishing
abortion	abortions
abrupt	abruptly
absence	absences
absent	absenting,absently,absented,absents
absolute	absolutely
absorb	absorbing,absorbs,absorbed
abstract	abstracts,abstracting,abstracted
absurd	absurdly
abundant	abundantly
abuse	abused,abusing,abuses
academic	academically,academics
academy	academies
accelerate	accelerated,accelerates,accelerating
accent	accents,accented,accenting
accept	accepting,accepted,accepts
access	accessed,accessing,accesses
accident	accidents
accommodation	accommodations
accompany	accompanied,accompanies,accompanying
accomplish	accomplished,accomplishing,accomplishes
account	accounting,accounted,accounts
accountant	accountants
accumulate	accumulated,accumulates,accumulating
accuracy	accuracies
accurate	accurately
accuse	accusing,accused,accuses
accustomed	accustom,accustoming,accustoms
ache	aching,ached,aches
achieve	achieves,achieving,achieved
achievement	achievements
acid	acidly,acids
acknowledge	acknowledging,acknowledges,acknowledged
acquaintance	acquaintances
acquire	acquired,acquiring,acquires
acquisition	acquisitions
acre	acres
act	acting,acts,acted
action	actions
active	actively
activity	activities
actor	actors
actress	actresses
actual	actually
acute	acutely
ad	ads
adapt	adapting,adapted,adapts
adaptation	adaptations
add	adding,added,adds
addicted	addicts,addict
addition	additions
address	addressed,addresses,addressing
adequate	adequately
adjust	adjusting,adjusted,adjusts
adjustment	adjustments
administration	administrations
admirable	admirably
admire	admired,admires,admiring
admission	admissions
admit	admits,admitting,admitted
adolescent	adolescents
adopt	adopting,adopted,adopts
adore	adored,adoring,adores
adult	adults
advance	advanced,advancing,advances
advantage	advantaging,advantaged,advantages
adventure	adventured,adventuring,adventures
advertise	advertises,advertising,advertised
advertisement	advertisements
advice	advise,advices
advise	advice,advises,advising,advised
advocate	advocating,advocated,advocates
aeroplane	aeroplanes
affair	affairs
affect	affecting,affected,affects
affection	affections
afford	afforded,affording,affords
afternoon	afternoons
age	ageing,aged,ages,aging
agency	agencies
agenda	agendas
agent	agents
aggression	aggressions
aggressive	aggressively
agree	agreeing,agreed,agrees
agreement	agreements
aid	aided,aiding,aids
aim	aiming,aimed,aims
air	aired,airs,airing
airline	airlines
airplane	airplanes
airport	airports
alarm	alarms,alarming,alarmed
album	albums
alcohol	alcohols
alcoholic	alcoholics
algebra	algebras
alley	alleys
allocate	allocated,allocates,allocating
allow	allows,allowing,allowed
allowance	allowances
alphabet	alphabets
alternative	alternatively,alternatives
altitude	altitudes
amateur	amateurs
amaze	amazes,amazing,amazed
amazing	amazingly
ambassador	ambassadors
ambiguous	ambiguously
ambition	ambitions
ambulance	ambulances
amount	amounts,amounting,amounted
ample	amply,amplest,ampler
amuse	amuses,amusing,amused
amusement	amusements
analyse	analyses,analysed,analysing
analysis	analyses
ancestor	ancestors
anchor	anchored,anchoring,anchors
anecdote	anecdotes
angel	angels
anger	angers,angering,angered
angle	angled,angling,angles
angry	angriest,angrily,angrier
animal	animals
ankle	ankles
anniversary	anniversaries
announce	announces,announcing,announced
announcement	announcements
annoy	annoys,annoying,annoyed
answer	answered,answering,answers
ant	ants
antique	antiques
anxiety	anxieties
anxious	anxiously
apartment	apartments
apologize	apologizing,apologizes,apologized
apology	apologies
apparent	apparently
appear	appeared,appearing,appears
appearance	appearances
appendix	appendixes
appetite	appetites
applaud	applauding,applauded,applauds
apple	apples
applicant	applicants
application	applications
apply	applied,applying,applies
appoint	appointing,appointed,appoints
appointment	appointments
appreciate	appreciates,appreciating,appreciated
appreciation	appreciations
approach	approaches,approached,approaching
appropriate	appropriately,appropriated,appropriates,appropriating
approval	approvals
approve	approves,approved,approving
approximately	approximated,approximating,approximate,approximates
apron	aprons
arbitrary	arbitrarily
arch	arches,archly,arched,arching
architect	architects
architecture	architectures
area	areas
argue	argued,arguing,argues
argument	arguments
arise	arises,arising,arose,arisen
arithmetic	arithmetically
arm	arming,armed,arms
armchair	armchairs
army	armies
arrange	arranging,arranges,arranged
arrangement	arrangements
arrival	arrivals
arrive	arriving,arrived,arrives
arrow	arrows
art	arts
article	articled,articling,articles
artificial	artificially
artist	artists
ash	ashes
ashamed	ashamedly
aside	asides
ask	asking,asked,asks
aspect	aspects
assess	assessed,assessing,assesses
assessment	assessments
assist	assisted,assists,assisting
assistant	assistants
associate	associated,associates,associating
association	associations
assume	assumed,assumes,assuming
assumption	assumptions
astonish	astonishing,astonished,astonishes
astronaut	astronauts
astronomer	astronomers
athlete	athletes
atmosphere	atmospheres
atom	atoms
attach	attaching,attaches,attached
attack	attacks,attacking,attacked
attain	attained,attaining,attains
attempt	attempted,attempts,attempting
attend	attending,attended,attends
attention	attentions
attentively	attentive
attitude	attitudes
attract	attracted,attracts,attracting
attraction	attractions
attractive	attractively
audience	audiences
aunt	aunts
authentic	authentically
author	authors
authority	authorities
automatic	automatics,automatically
autumn	autumns
avenue	avenues
average	averaging,averaged,averages
avoid	avoids,avoiding,avoided
awake	awoken,awaking,awoke,awakes
award	awards,awarding,awarded
awful	awfully
awkward	awkwardly
baby	babied,babying,babies
bachelor	bachelors
back	backed,backing,backs
backache	backaches
background	backgrounds
bacterium	bacteria
bad	badly,worst,worse
badly	bad,worst,worse
bag	bagged,bagging,bags
bake	baking,baked,bakes
baker	bakers
bakery	bakeries
balance	balanced,balancing,balances
balcony	balconies
ball	balled,balling,balls
ballet	ballets
balloon	ballooning,ballooned,balloons
ballpoint	ballpoints
bamboo	bamboos
ban	banned,banning,bans
banana	bananas
band	bands,banding,banded
bandage	bandaging,bandaged,bandages
bang	bangs,banging,banged
bank	banks,banking,banked
bar	bars,barred,barring
